CHIDX;CONC;LED1_VALS;LED2_VALS;LASER_PWMS;
2;0.6;2316.0;1318.0;55;
2;0.6;2677.0;1507.0;65;
2;0.6;3077.0;1745.0;75;
2;0.6;3484.0;1870.0;85;
2;0.6;3795.0;2124.0;95;
2;0.6;4225.0;2313.0;105;
2;0.6;4665.0;2558.0;115;
2;0.6;4978.0;2742.0;125;
2;0.6;5389.0;2922.0;135;
2;0.6;5891.0;3166.0;145;
2;0.6;6315.0;3442.0;155;
2;0.6;6697.0;3580.0;165;
2;0.6;7114.0;3802.0;175;
2;0.6;7438.0;3926.0;185;
2;0.6;7953.0;4205.0;195;
2;0.6;8382.0;4389.0;205;
2;0.6;8639.0;4649.0;215;
2;0.6;9023.0;4796.0;225;
2;0.6;9491.0;4963.0;235;
2;0.6;10113.0;5266.0;245;
2;0.6;279.0;281.0;0;
2;0.6;581.0;403.0;10;
2;0.6;976.0;605.0;20;
2;0.6;1324.0;833.0;30;
2;0.6;1686.0;972.0;40;
2;0.6;2086.0;1210.0;50;
2;0.6;2463.0;1400.0;60;
2;0.6;2866.0;1601.0;70;
2;0.6;3267.0;1834.0;80;
2;0.6;3632.0;2018.0;90;
2;0.6;4011.0;2217.0;100;
2;0.6;4402.0;2425.0;110;
2;0.6;4828.0;2663.0;120;
2;0.6;5158.0;2796.0;130;
2;0.6;5574.0;3011.0;140;
2;0.6;6064.0;3272.0;150;
2;0.6;6453.0;3442.0;160;
2;0.6;6889.0;3692.0;170;
2;0.6;7346.0;3820.0;180;
2;0.6;7663.0;4134.0;190;
2;0.6;8104.0;4290.0;200;
2;0.6;8510.0;4519.0;210;
2;0.6;8953.0;4695.0;220;
2;0.6;9192.0;4884.0;230;
2;0.6;9745.0;5165.0;240;
2;0.6;10326.0;5332.0;250;
2;0.6;391.0;297.0;5;
2;0.6;760.0;504.0;15;
2;0.6;1147.0;715.0;25;
2;0.6;1536.0;906.0;35;
2;0.6;1896.0;1086.0;45;
2;0.6;2265.0;1287.0;55;
2;0.6;2664.0;1519.0;65;
2;0.6;3098.0;1682.0;75;
2;0.6;3437.0;1919.0;85;
2;0.6;3768.0;2127.0;95;
2;0.6;4283.0;2314.0;105;
2;0.6;4618.0;2540.0;115;
2;0.6;4940.0;2748.0;125;
2;0.6;5391.0;2928.0;135;
2;0.6;5813.0;3133.0;145;
2;0.6;6290.0;3350.0;155;
2;0.6;6622.0;3592.0;165;
2;0.6;7157.0;3803.0;175;
2;0.6;7578.0;3991.0;185;
2;0.6;7797.0;4176.0;195;
